Itemset_ID,Revenue,Product_Name
ITS001,£96932.20,REGENCY CAKESTAND 3 TIER
ITS002,£92582.69,CREAM HANGING HEART T-LIGHT HOLDER
ITS003,£60642.81,JUMBO BAG RED RETROSPOT
ITS004,£47274.38,ASSORTED COLOUR BIRD ORNAMENT
ITS005,£45511.25,PARTY BUNTING
ITS006,£34185.35,PAPER CHAIN KIT 50'S CHRISTMAS
ITS007,£33386.12,DOORMAT UNION FLAG
ITS008,£31899.12,JUMBO BAG STRAWBERRY
ITS008,£31899.12,JUMBO BAG RED RETROSPOT
ITS009,£30461.19,CHILLI LIGHTS
ITS010,£29807.82,JUMBO BAG PINK POLKADOT
ITS010,£29807.82,JUMBO BAG RED RETROSPOT
ITS011,£28025.85,CHOCOLATE HOT WATER BOTTLE
ITS012,£27802.96,RED HANGING HEART T-LIGHT HOLDER
ITS012,£27802.96,CREAM HANGING HEART T-LIGHT HOLDER
ITS013,£26880.30,JUMBO  BAG BAROQUE BLACK WHITE
ITS013,£26880.30,JUMBO BAG RED RETROSPOT
ITS014,£26410.06,JUMBO STORAGE BAG SUKI
ITS014,£26410.06,JUMBO BAG RED RETROSPOT
ITS015,£26330.08,VICTORIAN GLASS HANGING T-LIGHT
ITS016,£26050.55,PAPER CHAIN KIT VINTAGE CHRISTMAS
ITS016,£26050.55,PAPER CHAIN KIT 50'S CHRISTMAS
ITS017,£25861.73,JUMBO SHOPPER VINTAGE RED PAISLEY
ITS017,£25861.73,JUMBO BAG RED RETROSPOT
ITS018,£25360.38,BLACK RECORD COVER FRAME
ITS019,£25288.50,HOME BUILDING BLOCK WORD
ITS020,£24406.90,ROSES REGENCY TEACUP AND SAUCER
ITS020,£24406.90,REGENCY CAKESTAND 3 TIER
ITS021,£24284.79,JUMBO BAG PINK VINTAGE PAISLEY
ITS021,£24284.79,JUMBO BAG RED RETROSPOT
ITS022,£23443.65,PAPER CHAIN KIT VINTAGE CHRISTMAS
ITS023,£23345.40,ALARM CLOCK BAKELIKE GREEN
ITS023,£23345.40,ALARM CLOCK BAKELIKE RED
ITS024,£23096.09,ASSORTED COLOUR BIRD ORNAMENT
ITS024,£23096.09,CREAM HANGING HEART T-LIGHT HOLDER
ITS025,£22957.70,GREEN REGENCY TEACUP AND SAUCER
ITS025,£22957.70,ROSES REGENCY TEACUP AND SAUCER
ITS025,£22957.70,REGENCY CAKESTAND 3 TIER
ITS026,£22678.00,VINTAGE UNION JACK BUNTING
ITS027,£22648.11,FELTCRAFT CUSHION BUTTERFLY
ITS027,£22648.11,FELTCRAFT CUSHION RABBIT
ITS027,£22648.11,FELTCRAFT CUSHION OWL
ITS028,£22348.59,JUMBO BAG PINK POLKADOT
ITS029,£22208.15,HOT WATER BOTTLE TEA AND SYMPATHY
ITS029,£22208.15,CHOCOLATE HOT WATER BOTTLE
ITS030,£22203.25,PINK REGENCY TEACUP AND SAUCER
ITS030,£22203.25,GREEN REGENCY TEACUP AND SAUCER
ITS030,£22203.25,ROSES REGENCY TEACUP AND SAUCER
ITS030,£22203.25,REGENCY CAKESTAND 3 TIER
ITS031,£22182.00,WOODEN PICTURE FRAME WHITE FINISH
ITS031,£22182.00,WOODEN FRAME ANTIQUE WHITE
ITS032,£22158.20,LUNCH BAG RED RETROSPOT
ITS033,£22125.00,ALARM CLOCK BAKELIKE PINK
ITS033,£22125.00,ALARM CLOCK BAKELIKE GREEN
ITS033,£22125.00,ALARM CLOCK BAKELIKE RED
ITS034,£22054.35,SCOTTIE DOG HOT WATER BOTTLE
ITS035,£21862.00,PINK REGENCY TEACUP AND SAUCER
ITS035,£21862.00,ROSES REGENCY TEACUP AND SAUCER
ITS035,£21862.00,REGENCY CAKESTAND 3 TIER
